iter	Logloss
0	0.6555338454
1	0.6247239898
2	0.5994098822
3	0.5786876205
4	0.5585430776
5	0.5420565934
6	0.5288312811
7	0.5173023193
8	0.5065500817
9	0.4967874109
10	0.4889661218
11	0.4810531852
12	0.4753028279
13	0.4710485849
14	0.4656551348
15	0.4625512976
16	0.4584310629
17	0.4538151841
18	0.4503450619
19	0.4473895006
20	0.4444091744
21	0.4412418176
22	0.4390638853
23	0.4361684481
24	0.4336183928
25	0.4317469706
26	0.4294682283
27	0.4279005828
28	0.4259942275
29	0.4245215959
30	0.4234174826
31	0.4212021774
32	0.4198836016
33	0.4187944732
34	0.4172594436
35	0.4163374496
36	0.4140876843
37	0.4121465714
38	0.4111119196
39	0.4100723592
40	0.40889744
41	0.4082779279
42	0.4075248666
43	0.4065900029
44	0.4049670177
45	0.4043431409
46	0.4036504843
47	0.4019797135
48	0.4013911663
49	0.4009467367
50	0.3995679804
51	0.3991577209
52	0.3988107039
53	0.3982985192
54	0.3973928915
55	0.3970366604
56	0.3967026726
57	0.3957976778
58	0.3954543913
59	0.3952312349
60	0.3949652292
61	0.3947440764
62	0.3944450193
63	0.3941653595
64	0.3932624979
65	0.392728773
66	0.3925633483
67	0.3924027063
68	0.391006721
69	0.3905172106
70	0.3897381464
71	0.3894294243
72	0.3889190969
73	0.3886647794
74	0.388086444
75	0.387923848
76	0.3869991444
77	0.3867382832
78	0.3858700467
79	0.3857331736
80	0.385556833
81	0.3854353186
82	0.38517796
83	0.3849328406
84	0.3847654581
85	0.3846490481
86	0.3844189161
87	0.3837055437
88	0.3836127012
89	0.3831609797
90	0.3830597685
91	0.382879289
92	0.3828133385
93	0.3823182901
94	0.3814946941
95	0.3814120087
96	0.3812922966
97	0.3811167233
98	0.3810656526
99	0.3808888511
100	0.380758633
101	0.3807221052
102	0.3807021262
103	0.3806347657
104	0.3805210399
105	0.3804502713
106	0.3802914767
107	0.380188419
108	0.3799396289
109	0.37986925
110	0.379360414
111	0.3792956183
112	0.3791797445
113	0.3791099376
114	0.3790054671
115	0.378772896
116	0.3780696109
117	0.3780090214
118	0.3779653559
119	0.3778473333
120	0.3774382701
121	0.3773782332
122	0.3772576136
123	0.3771821243
124	0.3770639187
125	0.3769540542
126	0.3769006988
127	0.3768269099
128	0.3767187408
129	0.376569437
130	0.3765026847
131	0.376452164
132	0.3760744642
133	0.3759994195
134	0.3758816804
135	0.3758061538
136	0.3756106059
137	0.3755026157
138	0.3753763638
139	0.375289617
140	0.3751502704
141	0.3748334605
142	0.3747598942
143	0.3746988227
144	0.3745864892
145	0.3745288384
146	0.3744389083
147	0.3743747107
148	0.3743190776
149	0.3742151283
150	0.3740198946
151	0.3740026783
152	0.3739260286
153	0.3737527007
154	0.3732796062
155	0.3731622441
156	0.3731067564
157	0.3730417306
158	0.372957283
159	0.3728863209
160	0.3727760619
161	0.372655308
162	0.3725882588
163	0.3725128963
164	0.3720710628
165	0.3720000578
166	0.3717222925
167	0.3716442954
168	0.3714257786
169	0.3713544434
170	0.3713119557
171	0.37111794
172	0.3710219694
173	0.3709876784
174	0.370940436
175	0.3705960506
176	0.3705008577
177	0.3703981786
178	0.3703141453
179	0.3702167089
180	0.3701173103
181	0.3698091462
182	0.3697278414
183	0.3696447166
184	0.3695475851
185	0.3694806542
186	0.3691177929
187	0.3690068706
188	0.3689467801
189	0.3685073691
190	0.368401212
191	0.3683179265
192	0.3682647212
193	0.3681633102
194	0.3680834413
195	0.3679819064
196	0.3678070761
197	0.3677067514
198	0.3676310334
199	0.3673808826
200	0.367254525
201	0.3671786566
202	0.3670827887
203	0.3670116977
204	0.3666349486
205	0.3665265926
206	0.3663404401
207	0.3662435966
208	0.3661283483
209	0.3661234886
210	0.3659096241
211	0.3657663796
212	0.3654259866
213	0.365329771
214	0.3652093538
215	0.3651486878
216	0.365063855
217	0.3648571475
218	0.3647747587
219	0.3646924392
220	0.3646182137
221	0.3645245162
222	0.3643827998
223	0.3642847539
224	0.3641886085
225	0.3640991102
226	0.3637719729
227	0.363699985
228	0.3635408024
229	0.3633965711
230	0.3633166377
231	0.3632514042
232	0.3631385765
233	0.3630769183
234	0.3629451703
235	0.3628576274
236	0.3625477047
237	0.362445139
238	0.3623683761
239	0.3623636925
240	0.3622335023
241	0.3619854152
242	0.3618898978
243	0.3618871826
244	0.3617507824
245	0.3617454141
246	0.3616427272
247	0.3615779487
248	0.3615045667
249	0.3613837104
250	0.361298902
251	0.361202435
252	0.3611193215
253	0.3610522282
254	0.3609355678
255	0.3609309636
256	0.3608475223
257	0.3608419755
258	0.3607726943
259	0.3606763545
260	0.36060847
261	0.3605340399
262	0.3605299472
263	0.3604239012
264	0.360360919
265	0.3602464693
266	0.3602425159
267	0.360165574
268	0.3598642354
269	0.3597564641
270	0.3596797862
271	0.3595887151
272	0.3594385245
273	0.3593765564
274	0.3593047502
275	0.3592119338
276	0.3592075407
277	0.3591288439
278	0.3590565667
279	0.358853128
280	0.3587720173
281	0.3586853666
282	0.3585953793
283	0.3585034603
284	0.3584426879
285	0.3583341766
286	0.3583299967
287	0.3582459105
288	0.3581531251
289	0.3580639823
290	0.3579690792
291	0.3579649847
292	0.3579609122
293	0.3579030935
294	0.3578343127
295	0.3576863107
296	0.3576383948
297	0.3575591221
298	0.3574917467
299	0.3574068155
