iter	Passed	Remaining
0	1	498
1	3	466
2	4	454
3	6	453
4	7	448
5	9	449
6	10	457
7	12	452
8	13	448
9	15	450
10	17	452
11	18	447
12	20	443
13	21	438
14	23	440
15	25	445
16	26	444
17	28	441
18	29	438
19	31	435
20	33	439
21	34	436
22	36	438
23	38	438
24	39	437
25	41	437
26	43	435
27	44	434
28	46	432
29	48	434
30	50	434
31	51	432
32	53	429
33	54	426
34	56	424
35	57	423
36	59	422
37	60	420
38	62	417
39	64	418
40	79	503
41	86	529
42	88	527
43	94	552
44	97	552
45	99	548
46	100	542
47	102	538
48	104	533
49	105	529
50	107	526
51	109	521
52	110	515
53	112	512
54	114	511
55	116	506
56	117	501
57	119	497
58	120	492
59	122	488
60	123	485
61	125	481
62	127	478
63	128	474
64	130	471
65	132	468
66	133	464
67	135	460
68	136	456
69	138	453
70	139	450
71	141	447
72	142	444
73	144	441
74	145	437
75	147	436
76	149	432
77	150	429
78	152	426
79	153	423
80	155	420
81	157	417
82	158	414
83	160	411
84	161	409
85	163	407
86	165	405
87	167	402
88	168	399
89	170	397
90	172	395
91	173	392
92	174	389
93	176	386
94	178	384
95	180	382
96	182	381
97	183	378
98	184	375
99	186	373
100	188	370
101	189	368
102	191	365
103	192	362
104	193	360
105	195	358
106	197	355
107	198	353
108	200	351
109	202	349
110	203	346
111	205	344
112	206	342
113	208	340
114	210	337
115	211	335
116	213	333
117	214	331
118	216	329
119	217	326
120	219	324
121	220	321
122	222	319
123	224	318
124	225	315
125	227	313
126	228	311
127	230	309
128	232	307
129	233	305
130	234	303
131	236	301
132	238	298
133	239	297
134	241	295
135	242	293
136	244	291
137	246	289
138	247	287
139	249	285
140	250	283
141	252	280
142	254	279
143	256	277
144	257	275
145	259	273
146	260	271
147	262	269
148	264	267
149	265	265
150	267	263
151	268	261
152	270	259
153	271	257
154	273	255
155	274	253
156	276	251
157	278	250
158	280	248
159	281	246
160	282	244
161	284	242
162	285	240
163	287	238
164	288	236
165	290	234
166	291	232
167	293	230
168	295	228
169	296	226
170	298	225
171	300	223
172	301	221
173	303	220
174	305	218
175	307	216
176	308	214
177	310	212
178	312	210
179	313	209
180	315	207
181	316	205
182	318	203
183	320	201
184	321	200
185	323	198
186	324	196
187	326	194
188	328	192
189	329	191
190	331	189
191	333	187
192	334	185
193	336	183
194	337	181
195	339	180
196	341	178
197	343	176
198	344	174
199	346	173
200	347	171
201	349	169
202	351	167
203	352	165
204	354	164
205	356	162
206	357	160
207	359	159
208	361	157
209	362	155
210	364	153
211	365	151
212	367	150
213	369	148
214	370	146
215	372	144
216	373	143
217	375	141
218	378	139
219	379	138
220	381	136
221	383	134
222	384	132
223	386	131
224	388	129
225	389	127
226	391	125
227	393	124
228	394	122
229	396	120
230	397	118
231	399	117
232	400	115
233	402	113
234	404	111
235	405	110
236	407	108
237	409	106
238	410	104
239	412	103
240	414	101
241	415	99
242	417	97
243	419	96
244	420	94
245	421	92
246	423	90
247	425	89
248	427	87
249	428	85
250	430	83
251	431	82
252	433	80
253	435	78
254	436	77
255	438	75
256	439	73
257	441	71
258	443	70
259	444	68
260	446	66
261	447	64
262	449	63
263	450	61
264	452	59
265	453	58
266	455	56
267	456	54
268	458	52
269	460	51
270	461	49
271	463	47
272	464	45
273	466	44
274	468	42
275	469	40
276	471	39
277	472	37
278	473	35
279	475	33
280	477	32
281	479	30
282	480	28
283	482	27
284	484	25
285	485	23
286	487	22
287	488	20
288	490	18
289	492	16
290	494	15
291	495	13
292	497	11
293	498	10
294	500	8
295	502	6
296	503	5
297	505	3
298	507	1
299	508	0
